Date,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
20240101,7.56,91.06,12.31,0.6
20240102,10.54,93.28,6.39,0.27
20240103,8.6,92.54,1.68,0.74
20240104,6.85,95.15,16.64,0.5
20240105,4.98,95.79,3.44,0.75
20240106,3.03,95.33,0.37,0.86
20240107,1.08,89.17,0.07,0.98
20240108,0.7,83.57,0.61,0.51
20240109,-0.63,83.52,0.01,1.23
20240110,-0.59,87.49,0.02,1.32
20240111,0.91,95.95,0.14,0.92
20240112,3.46,93.16,0.26,0.53
20240113,0.95,95.89,0.21,0.78
20240114,1.52,95.95,0.38,0.98
20240115,-1.87,90.14,0.04,1.47
20240116,-1.35,89.72,0.0,1.32
20240117,-0.56,90.21,0.05,0.69
20240118,-2.35,92.97,0.0,1.59
20240119,-1.06,95.36,0.03,1.58
20240120,1.6,86.54,0.07,0.78
20240121,7.86,93.9,3.77,0.76
20240122,8.45,86.89,2.19,1.33
20240123,7.79,95.99,3.75,0.28
20240124,8.2,88.15,0.37,1.26
20240125,8.46,97.42,0.97,0.75
20240126,6.49,88.06,1.21,1.84
20240127,3.74,92.33,0.02,1.08
20240128,5.87,92.84,0.05,1.33
20240129,8.69,96.81,0.31,0.72
20240130,6.8,89.94,0.13,0.6
20240131,6.0,91.16,1.3,0.63
20240201,4.37,91.77,0.02,1.77
20240202,7.6,94.1,0.14,1.15
20240203,10.52,92.98,0.3,1.09
20240204,10.16,93.38,0.26,0.68
20240205,8.89,89.68,0.15,0.81
20240206,10.66,90.66,10.48,0.82
20240207,5.18,88.5,3.51,0.82
20240208,7.15,96.15,18.06,0.56
20240209,9.94,94.19,2.08,0.94
20240210,8.38,94.62,3.19,1.43
20240211,6.35,94.48,1.29,1.57
20240212,4.71,89.39,0.22,2.51
20240213,7.34,94.09,3.25,0.82
20240214,11.0,95.4,3.91,0.83
20240215,11.5,91.61,1.64,1.68
20240216,9.54,91.61,0.66,1.73
20240217,9.45,95.23,5.05,0.91
20240218,10.53,92.2,12.07,1.85
20240219,8.26,91.65,0.45,1.81
20240220,7.59,93.51,0.17,1.47
20240221,9.38,94.4,7.5,0.68
20240222,7.78,92.67,8.26,0.52
20240223,5.05,91.31,3.17,1.93
20240224,4.24,91.48,1.82,2.11
20240225,4.86,93.43,3.86,1.55
20240226,5.0,86.13,2.98,2.1
20240227,4.15,89.67,0.17,1.94
20240228,7.96,93.53,1.65,1.21
20240229,8.77,92.69,5.79,0.94
20240301,5.23,89.76,6.88,2.12
20240302,4.75,91.21,2.06,1.72
20240303,3.58,89.04,1.31,2.93
20240304,5.0,87.31,2.07,2.77
20240305,5.73,95.21,4.72,2.12
20240306,5.98,90.83,0.62,2.64
20240307,6.37,89.48,0.18,1.79
20240308,6.28,84.91,0.03,2.96
20240309,8.77,86.9,2.65,2.62
20240310,8.07,92.83,7.78,1.26
20240311,6.91,94.29,2.4,1.02
20240312,9.11,95.81,11.95,1.11
20240313,10.46,91.9,1.85,1.3
20240314,10.8,92.01,0.49,2.21
20240315,10.92,90.75,2.13,2.55
20240316,8.42,85.5,0.88,2.47
20240317,10.98,93.54,4.86,1.96
20240318,9.53,92.41,0.98,2.57
20240319,9.95,92.65,0.43,1.96
20240320,11.32,89.03,0.48,2.73
20240321,9.44,91.67,0.11,2.71
20240322,8.37,87.42,1.05,1.91
20240323,5.48,85.25,1.11,3.62
20240324,7.12,81.53,0.6,3.7
20240325,7.48,85.74,0.11,2.41
20240326,8.26,89.18,7.91,2.93
20240327,7.49,88.27,1.41,3.14
20240328,8.14,86.01,8.47,2.32
20240329,8.97,88.48,1.8,3.44
20240330,8.75,86.13,0.14,4.33
20240331,9.52,91.01,1.58,1.96
20240401,9.62,86.04,1.35,3.69
20240402,10.28,88.23,6.61,3.26
20240403,10.62,88.41,4.83,2.53
20240404,11.98,87.14,3.94,3.16
20240405,13.09,85.72,1.08,3.56
20240406,13.92,80.36,0.14,3.04
20240407,11.68,81.33,0.18,3.41
20240408,11.52,88.92,0.71,2.99
20240409,8.75,83.82,1.36,3.28
20240410,8.99,88.02,2.21,2.46
20240411,13.94,88.16,0.39,3.3
20240412,13.07,85.91,0.04,4.77
20240413,12.98,85.15,0.05,5.07
20240414,9.65,77.14,0.01,4.82
20240415,7.87,78.48,3.02,5.5
20240416,8.2,79.56,1.04,4.58
20240417,6.49,79.38,0.81,4.64
20240418,8.08,78.23,1.52,5.61
20240419,9.07,82.48,1.69,3.85
20240420,5.9,76.86,0.6,5.42
20240421,6.03,76.46,0.02,5.22
20240422,5.41,82.73,0.46,3.08
20240423,5.8,86.77,0.9,3.51
20240424,5.98,74.94,0.32,3.85
20240425,6.93,82.6,2.58,2.86
20240426,7.29,77.25,1.88,4.82
20240427,8.28,89.13,19.88,2.23
20240428,8.18,89.12,6.64,3.25
20240429,10.27,81.0,0.23,5.07
20240430,11.87,83.84,0.2,6.55
20240501,13.47,86.04,3.77,3.57
20240502,13.32,87.85,1.87,1.46
20240503,10.34,90.97,5.83,2.11
20240504,10.99,84.0,1.86,5.49
